source,type,timestamp,packet_id,src,dst,hops,from_dir,to_dir,creation_time,deliver_time,traffic,weight
router,packet_routed,2025-09-13 12:45:49.314677,32,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:45:52.432120,31,,,0,south,west,,,0.04,
packet,packet_arrived,2025-09-13 12:45:52.573260,32,"(0, 0)","(1, 0)",2,,,2025-09-13 12:45:48,2025-09-13 12:45:52,0.04,34.17
router,packet_routed,2025-09-13 12:45:52.742067,33,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:45:54.277165,31,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:45:56.869331,34,,,0,local,north,,,0.04,
router,packet_routed,2025-09-13 12:45:57.091822,33,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:45:58.940791,35,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:45:59.323134,34,,,0,south,west,,,0.04,
router,packet_routed,2025-09-13 12:45:59.633916,33,,,0,west,local,,,0.04,
router,packet_routed,2025-09-13 12:46:00.336057,36,,,0,local,south,,,0.04,
packet,packet_arrived,2025-09-13 12:46:00.579722,31,"(1, 1)","(0, 0)",3,,,2025-09-13 12:45:48,2025-09-13 12:46:00,0.04,52.85
router,packet_routed,2025-09-13 12:46:01.153135,35,,,0,north,local,,,0.04,
router,packet_routed,2025-09-13 12:46:02.489091,36,,,0,north,east,,,0.04,
router,packet_routed,2025-09-13 12:46:02.683796,34,,,0,east,local,,,0.04,
router,packet_routed,2025-09-13 12:46:03.106094,37,,,0,local,north,,,0.04,
packet,packet_arrived,2025-09-13 12:46:03.206208,33,"(1, 1)","(2, 2)",3,,,2025-09-13 12:45:49,2025-09-13 12:46:03,0.04,56.37
router,packet_routed,2025-09-13 12:46:05.922460,36,,,0,west,local,,,0.04,
router,packet_routed,2025-09-13 12:46:06.074738,37,,,0,south,west,,,0.04,
router,packet_routed,2025-09-13 12:46:06.638734,38,,,0,local,south,,,0.04,
packet,packet_arrived,2025-09-13 12:46:07.503072,35,"(0, 0)","(1, 0)",2,,,2025-09-13 12:45:52,2025-09-13 12:46:07,0.04,34.17
packet,packet_arrived,2025-09-13 12:46:07.642652,34,"(1, 1)","(0, 0)",3,,,2025-09-13 12:45:50,2025-09-13 12:46:07,0.04,52.85
router,packet_routed,2025-09-13 12:46:10.094918,39,,,0,local,south,,,0.04,
router,packet_routed,2025-09-13 12:46:10.672529,38,,,0,north,local,,,0.04,
